Bar,Side,PMT,HV Cable (PMT to PP),HV PP,PP Channel,Multiway,CAEN Channel Name,CAEN Channel Number
0,Left,95,H-HV-L0,H-HV-PP-L0,0-0,H-HV-MW-L0,hodo_L0,2.0001
0,Right,94,H-HV-R0,H-HV-PP-R0,0-0,H-HV-MW-R0,hodo_R0,0.0001
1,Left,276,H-HV-L1,H-HV-PP-L0,0-1,H-HV-MW-L0,hodo_L1,2.0002
1,Right,272,H-HV-R1,H-HV-PP-R0,0-1,H-HV-MW-R0,hodo_R1,0.0002
2,Left,344,H-HV-L2,H-HV-PP-L0,0-2,H-HV-MW-L0,hodo_L2,2.0003
2,Right,345,H-HV-R2,H-HV-PP-R0,0-2,H-HV-MW-R0,hodo_R2,0.0003
3,Left,131,H-HV-L3,H-HV-PP-L0,0-3,H-HV-MW-L0,hodo_L3,2.0004
3,Right,132,H-HV-R3,H-HV-PP-R0,0-3,H-HV-MW-R0,hodo_R3,0.0004
4,Left,304,H-HV-L4,H-HV-PP-L0,0-4,H-HV-MW-L0,hodo_L4,2.0005
4,Right,305,H-HV-R4,H-HV-PP-R0,0-4,H-HV-MW-R0,hodo_R4,0.0005
5,Left,269,H-HV-L5,H-HV-PP-L0,0-5,H-HV-MW-L0,hodo_L5,2.0006
5,Right,265,H-HV-R5,H-HV-PP-R0,0-5,H-HV-MW-R0,hodo_R5,0.0006
6,Left,89,H-HV-L6,H-HV-PP-L0,0-6,H-HV-MW-L0,hodo_L6,2.0007
6,Right,90,H-HV-R6,H-HV-PP-R0,0-6,H-HV-MW-R0,hodo_R6,0.0007
7,Left,117,H-HV-L7,H-HV-PP-L0,0-7,H-HV-MW-L0,hodo_L7,2.0008
7,Right,87,H-HV-R7,H-HV-PP-R0,0-7,H-HV-MW-R0,hodo_R7,0.0008
8,Left,316,H-HV-L8,H-HV-PP-L0,0-8,H-HV-MW-L0,hodo_L8,2.0009
8,Right,317,H-HV-R8,H-HV-PP-R0,0-8,H-HV-MW-R0,hodo_R8,0.0009
9,Left,252,H-HV-L9,H-HV-PP-L0,0-9,H-HV-MW-L0,hodo_L9,2.0010
9,Right,251,H-HV-R9,H-HV-PP-R0,0-9,H-HV-MW-R0,hodo_R9,0.0010
10,Left,331,H-HV-L10,H-HV-PP-L0,0-10,H-HV-MW-L0,hodo_L10,2.0011
10,Right,330,H-HV-R10,H-HV-PP-R0,0-10,H-HV-MW-R0,hodo_R10,0.0011
11,Left,175,H-HV-L11,H-HV-PP-L0,0-11,H-HV-MW-L0,hodo_L11,2.0012
